Date,sample,ID,Collection date,Summer/Fall,C,H,N,CN,CNmolar,Sex,Weevil,N,Tannin run #,Sample ID,Rep,Male/ Female,weevil status,Nitrogen addition,Notes,Absorbance,% Differences,Avg. mg/g,CTannin,Litter collection date,Litter_Type,dummy
4/19/2019,M8302,8302,10/20/2019,F,47.93,5.97,0.42,114.1190476,133.0806148,M,Unattacked,0,12,8302,a,,,,43393,1.351,-7.54985755,295.8161404,29.58161404,,MN,1
4/17/2019,F8327,8327,10/20/2019,F,46.78,6.45,0.54,86.62962963,101.0236644,F,Unattacked,0,12,8327,a,f,,,43393,0.912,-1.846822379,202.9326316,20.29326316,,FN,2
4/17/2019,M8331,8331,10/20/2019,F,47.29,6.1,0.41,115.3414634,134.5061423,M,Unattacked,0,13,8331,a,,,,,0.54,-7.658058771,261.0333642,26.10333642,,MN,1
4/22/2019,F8332,8332,7/17/2019,S,45.06,6.46,1.63,27.64417178,32.23741744,F,Attacked,0,8,8332,a,female,,,,0.54,-0.185013876,103.2353671,10.32353671,7/17/2018,FW,4
4/17/2019,F8335,8335,10/20/2019,F,46.83,6.29,0.57,82.15789474,95.80892384,F,Unattacked,0,12,8335,a,f,,,43393,1.196,-14.14141414,285.5221387,28.55221387,,FN,2
4/22/2019,F8338,8338,7/17/2019,S,46.5,6.59,1.79,25.97765363,30.29399726,F,Attacked,0,8,8338,a,female,,,,0.594,0.675675676,113.6413043,11.36413043,7/17/2018,FW,4
4/17/2019,M8343,8343,10/20/2019,F,48.4,6.16,0.51,94.90196078,110.6704932,M,Unattacked,0,12,8343,a,m,,,43393,0.875,-12.7340824,209.9036128,20.99036128,,MN,1
4/19/2019,M8348,8348,10/20/2019,F,45.09,5.74,0.53,85.0754717,99.21127379,M,Unattacked,0,12,8348,a,m,,,43393,0.826,-13.64918218,196.6320034,19.66320034,,MN,1
4/19/2019,M8352,8352,10/20/2019,F,46.04,5.97,0.58,79.37931034,92.56866091,M,Unattacked,0,11,8352B,a,,,,,0.779,-1.021711367,209.7253333,20.97253333,,MN,1
4/17/2019,M8355,8355,10/20/2019,F,45.82,6.32,0.65,70.49230769,82.20502924,M,Unattacked,0,11,8355,a,,,,,0.833,-10.25056948,241.5802469,24.15802469,,MN,1
4/19/2019,F8356,8356,10/20/2019,F,44.8,6.03,0.44,101.8181818,118.735886,F,Unattacked,0,11,8356,a,,,,,0.708,-12.20159151,196.8010753,19.68010753,,FN,2
4/23/2019,M8357,8357,10/20/2019,F,47.22,6.36,0.64,73.78125,86.04044912,M,Unattacked,0,11,8357,a,,,,,0.722,-11.48825065,209.1453667,20.91453667,,MN,1
4/19/2019,F8358,8358,10/20/2019,F,48.13,6.27,0.68,70.77941176,82.53983738,F,Unattacked,0,11,8358P,a,,,,,0.715,12.16617211,195.5149912,19.55149912,,FN,2
4/23/2019,M8361,8361,10/20/2019,F,47.73,6.24,0.59,80.89830508,94.34004578,M,Unattacked,0,11,8361,a,,,,,0.88,-10.65088757,243.9784946,24.39784946,,MN,1
4/23/2019,F8363,8363,10/20/2019,F,48.81,6.13,0.57,85.63157895,99.8597816,F,Unattacked,0,12,8363,a,f,,,43393,0.975,-8.353808354,218.565614,21.8565614,,FN,2
4/23/2019,M8365,8365,10/20/2019,F,48.62,6.38,0.51,95.33333333,111.1735409,M,Unattacked,0,12,8365,a,m,,,43393,0.914,-9.185803758,209.9373434,20.99373434,,MN,1
4/19/2019,F8366,8366,10/20/2019,F,47.56,6.08,0.53,89.73584906,104.6460009,F,Unattacked,0,12,8366,a,f,,,43393,0.765,-9.701492537,182.7475948,18.27475948,,FN,2
4/23/2019,F8370,8370,10/20/2019,F,47.31,6.21,0.68,69.57352941,81.13359041,F,Unattacked,0,14,8370,a,,,,,0.358,-13.29856584,130.4371781,13.04371781,,FN,2
4/23/2019,F8372,8372,10/20/2019,F,45.67,5.82,0.54,84.57407407,98.62656593,F,Unattacked,0,12,8372,a,m,,,43393,0.817,-6.053412463,194.5175439,19.45175439,,FN,2
4/19/2019,M8376,8376,10/20/2019,F,46.75,6.09,0.53,88.20754717,102.8637625,M,Unattacked,0,12,8376,a,m,,,43393,0.822,5.115408609,176.0790531,17.60790531,,MN,1
4/19/2019,F8377,8377,10/20/2019,F,46.78,6.15,0.74,63.21621622,73.71997133,F,Unattacked,0,12,8377,a,f,,,43393,0.82,8.386277001,181.7152443,18.17152443,,FN,2
4/19/2019,MDL,,7/17/2019,S,47.32,6.57,1.44,32.86111111,38.32118267,M,Attacked,0,9,MDL,a,,,,,0.621,5.7995029,160.3209677,16.03209677,7/17/2018,MW,3
4/17/2019,M1,#1,7/17/2019,S,46.97,6.59,1.64,28.6402439,33.39899295,M,Attacked,0,6,#1Mb,a,male,weevil,0,near 8315,0.761,0.131492439,213.8335287,21.38335287,7/17/2018,MW,3
4/17/2019,M2,#2,7/17/2019,S,45.73,6.63,2.71,16.87453875,19.678345,M,Attacked,0,6,#2M,a,male,weevil,0,near…,0.391,-5.230386052,103.6652237,10.36652237,7/17/2018,MW,3
4/17/2019,M3,#3,7/17/2019,S,45.89,6.65,2.79,16.44802867,19.18096772,M,Attacked,0,6,#3M,a,male,weevil,0,dead male litter,0.27,-1.834862385,72.86683681,7.286683681,7/17/2018,MW,3
4/17/2019,M4,#4,7/17/2019,S,46.44,6.59,1.52,30.55263158,35.62913535,M,Attacked,0,6,#4M,a,male,weevil,0,used only in 2nd round,0.443,-6.126914661,131.3770914,13.13770914,7/17/2018,MW,3
4/17/2019,455,#455,7/17/2019,S,48.49,6.81,1.32,36.73484848,42.83856484,F,Attacked,0,7,#455,a,female,weevil,0,dead 8320 7-17-18,0.66,-16.79389313,121.2811531,12.12811531,7/17/2018,FW,4
4/17/2019,F5,#5,7/17/2019,S,44.82,6.32,1.32,33.95454545,39.59629771,F,Attacked,0,5,#5F,a,female,weevil,0,8316 dead branch,0.349,-0.855920114,90.48938135,9.048938135,7/17/2018,FW,4
4/17/2019,F6,#6,7/17/2019,S,45.67,6.48,1.32,34.59848485,40.34723152,F,Attacked,0,5,#6F,a,female,weevil,0,8332 dead,0.437,-2.485875706,101.8500185,10.18500185,7/17/2018,FW,4
4/17/2019,F7,#7,7/17/2019,S,47.65,6.52,1.29,36.9379845,43.07545312,F,Attacked,0,7,#7,a,female,weevil,0,on RL bank 7-17-18,0.537,-11.41352063,139.9329853,13.99329853,7/17/2018,FW,4
4/17/2019,F8,#8,7/17/2019,S,46.93,6.61,1.72,27.28488372,31.81843151,F,Attacked,0,8,#8F,a,female,,,8338 dead 7-17-18,0.409,-10.20881671,89.31352019,8.931352019,7/17/2018,FW,4
4/17/2019,F9,#9,7/17/2019,S,45.95,6.39,2.12,21.6745283,25.27588174,F,Attacked,0,8,#9F,a,female,,,above last RR 7-17-19,0.238,4.291845494,38.16506075,3.816506075,7/17/2018,FW,4
4/19/2019,F8304,8304A,7/17/2019,S,46.96,6.5,2.24,20.96428571,24.44762807,F,Attacked,0,8,8304A,a,female,,,43298,0.109,-3.603603604,11.33283133,1.133283133,7/17/2018,FW,4
4/19/2019,N8304,8304B,7/17/2019,S,47.21,6.44,2.08,22.69711538,26.46837783,F,Attacked,0,8,8304B,a,female,,,43298,0.125,-8.429118774,15.87649402,1.587649402,7/17/2018,FW,4
11/22/2019,6234,6234,7/12/2019,S,45.87,6.17,1.83,25.06557377,29.23036984,F,Attacked,0,20,6234,A,f,,,,0.293,-5.315614618,62.08600245,6.208600245,7/12/2019,FW,4
11/15/2019,6242,6242,6/26/2019,S,47.35,6.36,1.95,24.28205128,28.31666037,F,Attacked,0,20,6242,A,f,,,,0.569,-1.742160279,128.7275862,12.87275862,6/26/2019,FW,4
11/22/2019,6251,6251,7/13/2019,S,46.22,6.27,1.76,26.26136364,30.62484739,M,Attacked,0,20,6251,A,m,,,,0.365,0.274348422,76.62609872,7.662609872,7/13/2019,MW,3
11/22/2019,6254,6254,7/13/2019,S,46.66,6.18,1.56,29.91025641,34.88002568,M,Attacked,0,20,6254,A,m,,,,0.307,-8.125,65.49103448,6.549103448,7/13/2019,MW,3
11/15/2019,6264,6264,7/13/2019,S,47.41,6.7,1.51,31.39735099,36.61420999,F,Attacked,0,20,6264,A,f,,,,0.29,-1.369863014,58.92551724,5.892551724,7/13/2019,FW,4
11/15/2019,6278,6278,7/13/2019,S,46.47,6.52,2.23,20.83856502,24.30101813,M,Attacked,0,20,6278,A,m,,,,0.165,-8.695652174,30.29885057,3.029885057,7/13/2019,MW,3
11/15/2019,6281,6281,7/13/2019,S,46.29,6.44,2.19,21.1369863,24.6490239,F,Attacked,0,20,6281,A,f,,,,0.345,1.166180758,65.92340194,6.592340194,7/13/2019,FW,4
11/15/2019,6282,6282,7/13/2019,S,46.48,6.63,1.94,23.95876289,27.93965566,F,Attacked,0,20,6282,A,f,,,,0.307,-7.824726135,64.59860979,6.459860979,7/13/2019,FW,4
11/15/2019,6295,6295,7/13/2019,S,46.64,6.54,2.44,19.1147541,22.29078563,F,Attacked,0,20,6295,A,,,,,0.253,-3.495145631,50.43240285,5.043240285,7/13/2019,FW,4
11/15/2019,6325,6325,7/14/2019,S,47.28,6.44,2.03,23.29064039,27.16052059,M,Attacked,0,20,6325,A,m,,,,0.215,0,41.57353142,4.157353142,7/14/2019,MW,3
11/22/2019,6513,6513,7/14/2019,S,47.47,6.38,2.79,17.01433692,19.84137148,M,Attacked,0,20,6513,A,m,,,,0.101,-3.883495146,14.90640394,1.490640394,7/14/2019,MW,3
