F,M
0.00,0.00
3.17,0.00
0.00,0.00
2.70,0.00
1.79,0.00
3.17,0.00
0.00,5.74
0.00,5.78
0.00,3.92
0.00,3.92
0.00,0.00
0.00,0.00
9.21,0.00
0.00,18.10
2.58,21.21
6.43,2.75
1.78,0.00
12.17,0.00
0.00,13.08
28.55,5.53
20.89,0.00
0.00,0.00
0.00,20.38
0.00,0.00
0.00,25.18
9.24,0.00
6.25,20.99
0.00,0.00
0.00,0.00
12.12,2.57
0.00,14.43
12.47,2.02
2.03,0.00
0.00,0.00
0.00,0.00
2.83,0.00
0.00,0.00
0.00,0.00
8.33,0.00
0.00,7.73
0.00,11.24
12.84,0.00
4.59,0.00
0.00,0.00
0.00,14.35
0.00,8.80
8.94,13.68
7.52,0.00
0.00,12.46
0.00,16.86
14.50,3.65
0.00,0.00
2.83,0.00
0.00,16.31
0.00,0.00
9.09,6.45
23.32,0.00
15.46,0.00
18.66,0.00
0.00,18.25
3.96,27.66
0.00,12.17
3.60,4.50
3.39,12.03
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,13.95
0.00,0.00
9.43,6.45
0.00,0.00
9.12,22.21
21.98,0.00
,0.00
,0.00
,0.00
,0.00
