F,M
676.3681,328.096
441.2004,315.0882
190.1359,370.3611
518.326,252.0644
780.5563,316.2626
441.2004,432.1073
796.5141,488.2174
554.201,484.1329
602.3624,357.2884
502.404,357.2884
540.2202,298.0858
886.5595,301.1093
608.2661,520.1236
528.4911,464.2135
542.324,264.0683
870.5693,509.31
784.5885,222.162
575.3712,394.3786
514.1865,107.0733
245.147,253.1676
469.1697,416.2389
602.3616,268.0389
432.1781,412.1309
584.337,348.3016
574.4965,389.2018
606.2501,606.1621
224.1283,400.2076
472.2471,222.162
398.1263,342.278
577.3862,545.2779
534.3719,388.2109
561.3488,691.4076
689.344,296.2326
430.3809,622.1212
912.715,682.4608
495.3714,298.2526
442.17,252.0653
667.1918,554.2163
336.1812,472.2236
564.29,905.3209
654.1824,498.2195
545.2968,648.4942
610.3019,667.1933
400.2471,274.1796
162.0528,390.1949
516.1324,159.0379
626.2796,307.0865
372.1876,142.135
274.1942,337.163
582.2239,332.2066
386.1234,383.3029
540.3408,272.1045
495.2666,376.3334
152.1203,429.2373
194.0814,218.0801
616.3768,434.0954
240.137,194.0947
362.16,152.121
450.1984,406.22
290.189,460.242
353.1989,253.0817
740.4366,460.1394
389.2602,311.1636
413.3133,349.179
376.2112,192.1512
146.0366,172.1107
464.0963,326.1352
442.3804,462.1535
158.131,301.159
548.4504,228.1723
445.1843,434.2198
256.184,354.0966
614.2389,504.3189
191.1053,198.1968
,476.1328
,132.095
,488.2193
,442.2736
